"elapsed time [ms]","stats.allocated","stats.active","stats.mapped"
326825.377679,277557388600,282975420416,283935453184
327827.031578,277618932632,283038760960,283999006720
328828.702199,277658689112,283079753728,284039999488
329830.442934,275546085464,280980447232,282478411776
330832.353604,270695376680,276148400128,277646929920
331834.250943,267393902488,272875446272,273837965312
332835.988195,269697995208,275231174656,276195487744
333837.665310,267441341384,273016778752,273982406656
334839.292410,259067441368,264661491712,266165411840
335840.904899,253589119752,259193753600,260699881472
336842.513379,248888459480,254499569664,256544931840
337844.135777,239931960520,245543727104,247052353536
338845.807444,228858400968,234476199936,237058994176
339847.849066,227939267128,233570230272,234542399488
340850.699812,232039395112,237685256192,238664761344
341853.455793,236999529912,242661003264,243640504320
342855.060260,242017088440,247712608256,248699437056
343856.720277,245465643080,251196059648,252190064640
344859.323050,250352112328,256120885248,257132445696
345861.777923,255054444936,260850589696,262398296064
346863.422648,257304725432,263122817024,264133312512
347865.167238,256161358488,262017331200,263572144128
348866.891109,258827131688,264727683072,265755512832
349868.644598,258656311976,264583684096,265629093888
350871.104390,252503114056,258457890816,259501678592
351873.591252,254357508120,260350578688,261402677248
352876.053564,256373791320,262394626048,263456317440
353878.385365,253109425656,259139948544,260470984704
354880.753803,245254040408,251289255936,252621164544
355882.603842,242073013000,248112558080,249177182208
356884.235154,242632310424,248672313344,249735991296
357885.838068,236326092312,242366017536,243967377408
358887.384583,237131398680,243171336192,244235821056
359888.934801,239130296088,245178179584,246241517568
360890.550697,243011256856,249071403008,250134740992
361892.160841,246492230520,252564484096,253627822080
362893.083946,250062960264,256149254144,257211494400
363895.081492,254206773464,260304097280,261365334016
364896.756725,257715311896,263837351936,264898506752
365898.720730,261175809528,267330056192,268399702016
366900.635732,265128281464,271308853248,272915378176
367901.656755,266780051400,272986034176,274055008256
368903.979482,271523765752,277755019264,278823993344
369907.599533,272874839880,279117959168,280187105280
370909.988999,272928181368,279172886528,280241430528
371911.921017,273655929736,279902339072,280970870784
372913.927322,273735375208,279984103424,281051881472
373915.883220,274330497736,280580993024,281648685056
374917.714158,274418894184,280671981568,281739722752
375919.412068,274477309640,280732037120,281799827456
376921.544263,274549348680,280806256640,281874059264
377923.124622,274615571848,280874467328,281942147072
378924.933315,275222920520,281483894784,282551697408
379926.681802,273145340536,279432810496,280500973568
380929.033742,274056388552,280363560960,281430933504
381934.002856,274128963704,280438173696,281505423360
382935.979705,274193762024,280504889344,281572425728
383937.712617,274265946616,280579272704,281646477312
384939.856309,274315341976,280630149120,281697325056
386004.713655,274911354536,281227939840,282295336960
387005.869997,270743637528,277080109056,278147469312
388006.823507,273750341400,280125014016,281208598528
389008.595485,274985728152,281365217280,282448998400
390010.263115,275066768568,281448730624,282532499456
391011.947758,275108085256,281491267584,282575474688
392013.571734,275172588968,281557581824,282641051648
393014.684702,272061644760,278470393856,280359698432
394016.647137,271428014792,277852356608,279070564352
395019.180487,274125594168,280565374976,281782595584
396021.096107,274197530584,280639344640,281856561152
397022.023894,274423985928,280868581376,282086064128
398023.004317,274622034664,281068556288,282285834240
399025.045009,274704313992,281153310720,282370650112
400026.972497,274794284328,281245949952,282463154176
401029.900309,274914102344,281369382912,283124711424
402033.309998,272978937768,279459459072,280676409344
403037.187373,271557677304,278075588608,279428497408
404038.935184,270628892968,277183148032,278401314816
405040.999586,262127672728,268716568576,269937217536
406043.147389,262724554344,269329510400,270549291008
407045.309867,258260380952,264874012672,266094645248
408048.189281,253788789176,260411158528,261632503808
409050.099153,253859977480,260484186112,261707567104
410052.035855,245277772872,251901943808,253662720000
411053.827546,235076948712,241701015552,242925420544
412055.965196,235613819624,242237890560,243462295552
413057.541148,236955996904,243580084224,244804489216
414059.201987,238298174184,244922277888,246146682880
415060.665740,238806277272,245446258688,246669537280
416062.481169,239275028712,245929611264,247152889856
417064.094204,239411492856,246069743616,247293022208
418065.566063,239515898328,246176772096,247400050688
419067.532334,239600353160,246263439360,247487565824
420070.293372,239602955592,246266028032,247490297856
421073.045498,234771869608,241434894336,242659229696
422074.508169,234771869608,241434894336,242659229696
423076.187809,234771869608,241434894336,242659229696
424077.761745,234771869608,241434894336,242659229696
425079.188830,234771869608,241434894336,242659229696
426080.964604,234771869608,241434894336,242659229696
427082.654555,234771869608,241434894336,242659229696
428084.150648,235308740520,241971769344,243196104704
429085.898486,235845611432,242508644352,243732979712
430088.184198,236382482344,243045519360,244269854720
431089.682915,238395748264,245058809856,246283145216
432091.111820,238784025224,245455020032,246678257664
433092.941800,239292134072,245978955776,247202193408
434094.583065,240140053544,246836219904,248059457536
435096.062240,240244644648,246943432704,248166670336
436097.913583,240347690600,247049101312,248272338944
437099.601237,240369672632,247071633408,248295354368
438101.118964,236076482456,242778423296,244538974208
439102.652680,235539611544,242241548288,243465224192
440104.170693,235539611544,242241548288,243465224192
441105.804127,235539611544,242241548288,243465224192
442107.278533,235539611544,242241548288,243465224192
443109.091273,235539611544,242241548288,243465224192
444111.030604,236613353368,243315298304,244538974208
445112.505639,238223966104,244925923328,246149599232
446114.359169,240908320664,247610310656,248833986560
447116.268255,243592675224,250294697984,251518373888
448118.444526,245725791320,252435763200,253658333184
449120.444249,246792092024,253510230016,254731722752
450122.383404,247172004984,253901987840,255123460096
451124.476313,248300164248,255065321472,256285716480
452126.089312,249061540104,255849209856,257069604864
453127.829479,249726624904,256533123072,257761906688
454129.547542,250031283544,256845053952,258074705920
455131.247480,250175361256,256992587776,258222743552
456132.857147,244201441688,251020259328,252788391936
457134.653468,240580222040,247398998016,248630116352
458136.360855,235748310552,242567041024,243798556672
459138.099344,235748310552,242567041024,243798556672
460139.540422,235748310552,242567041024,243798556672
461141.370259,235748310552,242567041024,243798556672
462143.187055,235748310552,242567041024,243798556672
463144.868234,235748310552,242567041024,243798556672
464146.736855,235748310552,242567041024,243798556672
465148.314995,235748310552,242567041024,243798556672
466149.936234,235748310552,242567041024,243798556672
467151.487474,235748310552,242567041024,243798556672
468153.327768,225546263768,232364351488,233583345664
469155.231676,225009105272,231827263488,233079545856
470157.140436,225009105272,231827263488,233079545856
471158.817541,225009105272,231827263488,233079545856
472160.291298,225009105272,231827263488,233079545856
473161.928986,225009105272,231827263488,233079545856
474163.530576,225009105272,231827263488,233079545856
475164.913442,225009105272,231827263488,233079545856
476166.524275,225009105272,231827263488,233079545856
477168.180788,225009105272,231827263488,233079545856
478169.559037,225009105272,231827263488,233079545856
479171.248602,225009105272,231827263488,233079545856
480172.852011,225009105272,231827263488,233079545856
481174.422390,225009105272,231827263488,233079545856
482176.034043,225009105272,231827263488,233079545856
483177.638038,225009105272,231827263488,233079545856
484179.298970,225009105272,231827263488,233079545856
485180.902105,225009105272,231827263488,233079545856
486186.074227,225009105272,231827263488,233079545856
487187.704221,225009105272,231827263488,233079545856
488189.377673,225009105272,231827263488,233079545856
489191.042704,225009105112,231827243008,233079115776
490192.775798,225009105112,231827243008,233079115776
491194.428695,225009105112,231827243008,233079115776
492196.088984,225009105112,231827243008,233079115776
493197.764427,225009105112,231827243008,233079115776
494199.401087,225009105112,231827243008,233079115776
495201.060959,225009105112,231827243008,233079115776
496202.693331,225009105112,231827243008,233079115776
497204.360329,225009105112,231827243008,233079115776
498205.983299,225009105112,231827243008,233079115776
499207.858464,225009105112,231827243008,233079115776
500209.579382,225009023192,231827156992,233079115776
501211.324016,225009023192,231827156992,233079115776
502212.967485,225009023192,231827156992,233079115776
503214.669100,225009023192,231827156992,233079115776
504216.329223,225009023192,231827156992,233079115776
505218.041316,225009023192,231827156992,233079115776
